Time (UTC),Plays
12/27/2018 00:00:00,0
12/28/2018 00:00:00,3
12/29/2018 00:00:00,1
12/30/2018 00:00:00,1
12/31/2018 00:00:00,1
1/1/2019 00:00:00,0
1/2/2019 00:00:00,3
1/3/2019 00:00:00,0
1/4/2019 00:00:00,0
1/5/2019 00:00:00,3
1/6/2019 00:00:00,6
1/7/2019 00:00:00,145
1/8/2019 00:00:00,164
1/9/2019 00:00:00,62
1/10/2019 00:00:00,365
1/11/2019 00:00:00,44
1/12/2019 00:00:00,11
1/13/2019 00:00:00,23
1/14/2019 00:00:00,105
1/15/2019 00:00:00,119
1/16/2019 00:00:00,77
1/17/2019 00:00:00,59
1/18/2019 00:00:00,33
1/19/2019 00:00:00,25
1/20/2019 00:00:00,19
1/21/2019 00:00:00,38
1/22/2019 00:00:00,29
1/23/2019 00:00:00,25
1/24/2019 00:00:00,15
1/25/2019 00:00:00,22
1/26/2019 00:00:00,14
1/27/2019 00:00:00,24
1/28/2019 00:00:00,109
1/29/2019 00:00:00,113
1/30/2019 00:00:00,51
1/31/2019 00:00:00,35
2/1/2019 00:00:00,28
2/2/2019 00:00:00,14
2/3/2019 00:00:00,17
2/4/2019 00:00:00,33
2/5/2019 00:00:00,32
2/6/2019 00:00:00,19
2/7/2019 00:00:00,20
2/8/2019 00:00:00,28
2/9/2019 00:00:00,41
2/10/2019 00:00:00,35
2/11/2019 00:00:00,132
2/12/2019 00:00:00,120
2/13/2019 00:00:00,101
2/14/2019 00:00:00,79
2/15/2019 00:00:00,78
2/16/2019 00:00:00,65
2/17/2019 00:00:00,53
2/18/2019 00:00:00,77
2/19/2019 00:00:00,74
2/20/2019 00:00:00,95
2/21/2019 00:00:00,100
2/22/2019 00:00:00,65
2/23/2019 00:00:00,38
2/24/2019 00:00:00,49
2/25/2019 00:00:00,65
2/26/2019 00:00:00,258
2/27/2019 00:00:00,104
2/28/2019 00:00:00,84
3/1/2019 00:00:00,68
3/2/2019 00:00:00,61
3/3/2019 00:00:00,65
3/4/2019 00:00:00,54
3/5/2019 00:00:00,65
3/6/2019 00:00:00,103
3/7/2019 00:00:00,108
3/8/2019 00:00:00,64
3/9/2019 00:00:00,47
3/10/2019 00:00:00,41
3/11/2019 00:00:00,97
3/12/2019 00:00:00,252
3/13/2019 00:00:00,179
3/14/2019 00:00:00,146
3/15/2019 00:00:00,140
3/16/2019 00:00:00,89
3/17/2019 00:00:00,57
3/18/2019 00:00:00,92
3/19/2019 00:00:00,83
3/20/2019 00:00:00,91
3/21/2019 00:00:00,102
3/22/2019 00:00:00,48
3/23/2019 00:00:00,84
3/24/2019 00:00:00,64
3/25/2019 00:00:00,216
3/26/2019 00:00:00,246
3/27/2019 00:00:00,140
3/28/2019 00:00:00,165
3/29/2019 00:00:00,140
3/30/2019 00:00:00,70
3/31/2019 00:00:00,63
4/1/2019 00:00:00,100
4/2/2019 00:00:00,113
4/3/2019 00:00:00,147
4/4/2019 00:00:00,85
4/5/2019 00:00:00,80
4/6/2019 00:00:00,52
4/7/2019 00:00:00,63
4/8/2019 00:00:00,103
4/9/2019 00:00:00,402
4/10/2019 00:00:00,212
4/11/2019 00:00:00,130
4/12/2019 00:00:00,127
4/13/2019 00:00:00,107
4/14/2019 00:00:00,82
4/15/2019 00:00:00,124
4/16/2019 00:00:00,95
4/17/2019 00:00:00,140
4/18/2019 00:00:00,88
4/19/2019 00:00:00,70
4/20/2019 00:00:00,72
4/21/2019 00:00:00,72
4/22/2019 00:00:00,162
4/23/2019 00:00:00,559
4/24/2019 00:00:00,217
4/25/2019 00:00:00,153
4/26/2019 00:00:00,131
4/27/2019 00:00:00,132
4/28/2019 00:00:00,91
4/29/2019 00:00:00,145
4/30/2019 00:00:00,137
5/1/2019 00:00:00,100
5/2/2019 00:00:00,82
5/3/2019 00:00:00,98
5/4/2019 00:00:00,64
5/5/2019 00:00:00,84
5/6/2019 00:00:00,94
5/7/2019 00:00:00,72
5/8/2019 00:00:00,95
5/9/2019 00:00:00,95
5/10/2019 00:00:00,89
5/11/2019 00:00:00,63
5/12/2019 00:00:00,54
5/13/2019 00:00:00,239
5/14/2019 00:00:00,419
5/15/2019 00:00:00,206
5/16/2019 00:00:00,165
5/17/2019 00:00:00,129
5/18/2019 00:00:00,92
5/19/2019 00:00:00,72
5/20/2019 00:00:00,253
5/21/2019 00:00:00,404
5/22/2019 00:00:00,208
5/23/2019 00:00:00,161
5/24/2019 00:00:00,124
5/25/2019 00:00:00,152
5/26/2019 00:00:00,323
5/27/2019 00:00:00,421
5/28/2019 00:00:00,436
5/29/2019 00:00:00,437
5/30/2019 00:00:00,434
5/31/2019 00:00:00,306
6/1/2019 00:00:00,178
6/2/2019 00:00:00,170
6/3/2019 00:00:00,243
6/4/2019 00:00:00,775
6/5/2019 00:00:00,512
6/6/2019 00:00:00,442
6/7/2019 00:00:00,405
6/8/2019 00:00:00,206
6/9/2019 00:00:00,143
6/10/2019 00:00:00,258
6/11/2019 00:00:00,231
6/12/2019 00:00:00,224
6/13/2019 00:00:00,278
6/14/2019 00:00:00,266
6/15/2019 00:00:00,151
6/16/2019 00:00:00,118
6/17/2019 00:00:00,193
6/18/2019 00:00:00,187
6/19/2019 00:00:00,189
6/20/2019 00:00:00,105
6/21/2019 00:00:00,168
6/22/2019 00:00:00,137
6/23/2019 00:00:00,82
6/24/2019 00:00:00,211
6/25/2019 00:00:00,166
6/26/2019 00:00:00,161
6/27/2019 00:00:00,171
6/28/2019 00:00:00,191
6/29/2019 00:00:00,169
6/30/2019 00:00:00,123
7/1/2019 00:00:00,160
7/2/2019 00:00:00,697
7/3/2019 00:00:00,388
7/4/2019 00:00:00,315
7/5/2019 00:00:00,284
7/6/2019 00:00:00,127
7/7/2019 00:00:00,146
7/8/2019 00:00:00,201
7/9/2019 00:00:00,227
7/10/2019 00:00:00,254
7/11/2019 00:00:00,200
7/12/2019 00:00:00,151
7/13/2019 00:00:00,112
7/14/2019 00:00:00,108
7/15/2019 00:00:00,473
7/16/2019 00:00:00,554
7/17/2019 00:00:00,288
7/18/2019 00:00:00,247
7/19/2019 00:00:00,233
7/20/2019 00:00:00,128
7/21/2019 00:00:00,111
7/22/2019 00:00:00,182
7/23/2019 00:00:00,218
7/24/2019 00:00:00,243
7/25/2019 00:00:00,209
7/26/2019 00:00:00,197
7/27/2019 00:00:00,162
7/28/2019 00:00:00,127
7/29/2019 00:00:00,219
7/30/2019 00:00:00,443
7/31/2019 00:00:00,771
8/1/2019 00:00:00,501
8/2/2019 00:00:00,321
8/3/2019 00:00:00,263
8/4/2019 00:00:00,217
8/5/2019 00:00:00,386
8/6/2019 00:00:00,379
8/7/2019 00:00:00,272
8/8/2019 00:00:00,326
8/9/2019 00:00:00,290
8/10/2019 00:00:00,182
8/11/2019 00:00:00,140
8/12/2019 00:00:00,504
8/13/2019 00:00:00,801
8/14/2019 00:00:00,468
8/15/2019 00:00:00,405
8/16/2019 00:00:00,419
8/17/2019 00:00:00,218
8/18/2019 00:00:00,215
8/19/2019 00:00:00,301
8/20/2019 00:00:00,267
8/21/2019 00:00:00,351
8/22/2019 00:00:00,419
8/23/2019 00:00:00,368
8/24/2019 00:00:00,260
8/25/2019 00:00:00,162
8/26/2019 00:00:00,426
8/27/2019 00:00:00,482
8/28/2019 00:00:00,389
8/29/2019 00:00:00,398
8/30/2019 00:00:00,313
8/31/2019 00:00:00,250
9/1/2019 00:00:00,190
9/2/2019 00:00:00,371
9/3/2019 00:00:00,361
9/4/2019 00:00:00,1054
9/5/2019 00:00:00,586
9/6/2019 00:00:00,459
9/7/2019 00:00:00,264
9/8/2019 00:00:00,200
9/9/2019 00:00:00,333
9/10/2019 00:00:00,341
9/11/2019 00:00:00,408
9/12/2019 00:00:00,336
9/13/2019 00:00:00,323
9/14/2019 00:00:00,236
9/15/2019 00:00:00,159
9/16/2019 00:00:00,372
9/17/2019 00:00:00,1019
9/18/2019 00:00:00,624
9/19/2019 00:00:00,511
9/20/2019 00:00:00,437
9/21/2019 00:00:00,281
9/22/2019 00:00:00,262
9/23/2019 00:00:00,423
9/24/2019 00:00:00,428
9/25/2019 00:00:00,311
9/26/2019 00:00:00,387
9/27/2019 00:00:00,374
9/28/2019 00:00:00,234
9/29/2019 00:00:00,243
9/30/2019 00:00:00,350
10/1/2019 00:00:00,1109
10/2/2019 00:00:00,646
10/3/2019 00:00:00,452
10/4/2019 00:00:00,488
10/5/2019 00:00:00,340
10/6/2019 00:00:00,312
10/7/2019 00:00:00,497
10/8/2019 00:00:00,540
10/9/2019 00:00:00,510
10/10/2019 00:00:00,442
10/11/2019 00:00:00,382
10/12/2019 00:00:00,235
10/13/2019 00:00:00,196
10/14/2019 00:00:00,535
10/15/2019 00:00:00,878
10/16/2019 00:00:00,666
10/17/2019 00:00:00,603
10/18/2019 00:00:00,477
10/19/2019 00:00:00,306
10/20/2019 00:00:00,282
10/21/2019 00:00:00,570
10/22/2019 00:00:00,582
10/23/2019 00:00:00,613
10/24/2019 00:00:00,590
10/25/2019 00:00:00,562
10/26/2019 00:00:00,357
10/27/2019 00:00:00,317
10/28/2019 00:00:00,551
10/29/2019 00:00:00,1204
10/30/2019 00:00:00,803
10/31/2019 00:00:00,626
11/1/2019 00:00:00,506
11/2/2019 00:00:00,337
11/3/2019 00:00:00,358
11/4/2019 00:00:00,655
11/5/2019 00:00:00,693
11/6/2019 00:00:00,540
11/7/2019 00:00:00,649
11/8/2019 00:00:00,480
11/9/2019 00:00:00,418
11/10/2019 00:00:00,283
11/11/2019 00:00:00,890
11/12/2019 00:00:00,808
11/13/2019 00:00:00,620
11/14/2019 00:00:00,607
11/15/2019 00:00:00,340
11/16/2019 00:00:00,315
11/17/2019 00:00:00,229
11/18/2019 00:00:00,437
11/19/2019 00:00:00,496
11/20/2019 00:00:00,352
11/21/2019 00:00:00,457
11/22/2019 00:00:00,356
11/23/2019 00:00:00,323
11/24/2019 00:00:00,231
11/25/2019 00:00:00,587
11/26/2019 00:00:00,968
11/27/2019 00:00:00,695
11/28/2019 00:00:00,620
11/29/2019 00:00:00,489
11/30/2019 00:00:00,358
12/1/2019 00:00:00,231
12/2/2019 00:00:00,381
12/3/2019 00:00:00,452
12/4/2019 00:00:00,474
12/5/2019 00:00:00,395
12/6/2019 00:00:00,340
12/7/2019 00:00:00,199
12/8/2019 00:00:00,189
12/9/2019 00:00:00,300
12/10/2019 00:00:00,376
12/11/2019 00:00:00,351
12/12/2019 00:00:00,273
12/13/2019 00:00:00,275
12/14/2019 00:00:00,233
12/15/2019 00:00:00,186
12/16/2019 00:00:00,294
12/17/2019 00:00:00,914
12/18/2019 00:00:00,594
12/19/2019 00:00:00,535
12/20/2019 00:00:00,368
12/21/2019 00:00:00,282
12/22/2019 00:00:00,271
12/23/2019 00:00:00,337
12/24/2019 00:00:00,311
12/25/2019 00:00:00,169
12/26/2019 00:00:00,308
12/27/2019 00:00:00,358
12/28/2019 00:00:00,247
12/29/2019 00:00:00,256
12/30/2019 00:00:00,318
12/31/2019 00:00:00,716
1/1/2020 00:00:00,313
1/2/2020 00:00:00,635
1/3/2020 00:00:00,592
1/4/2020 00:00:00,399
1/5/2020 00:00:00,408
1/6/2020 00:00:00,581
1/7/2020 00:00:00,590
1/8/2020 00:00:00,482
1/9/2020 00:00:00,457
1/10/2020 00:00:00,500
1/11/2020 00:00:00,286
1/12/2020 00:00:00,272
1/13/2020 00:00:00,387
1/14/2020 00:00:00,448
1/15/2020 00:00:00,548
1/16/2020 00:00:00,523
1/17/2020 00:00:00,506
1/18/2020 00:00:00,286
1/19/2020 00:00:00,243
1/20/2020 00:00:00,381
1/21/2020 00:00:00,412
1/22/2020 00:00:00,539
1/23/2020 00:00:00,495
1/24/2020 00:00:00,485
1/25/2020 00:00:00,324
1/26/2020 00:00:00,311
1/27/2020 00:00:00,497
1/28/2020 00:00:00,511
1/29/2020 00:00:00,493
1/30/2020 00:00:00,456
1/31/2020 00:00:00,436
2/1/2020 00:00:00,318
2/2/2020 00:00:00,361
2/3/2020 00:00:00,482
2/4/2020 00:00:00,469
2/5/2020 00:00:00,513
2/6/2020 00:00:00,512
2/7/2020 00:00:00,485
2/8/2020 00:00:00,326
2/9/2020 00:00:00,274
2/10/2020 00:00:00,961
2/11/2020 00:00:00,989
2/12/2020 00:00:00,853
2/13/2020 00:00:00,719
2/14/2020 00:00:00,682
2/15/2020 00:00:00,408
2/16/2020 00:00:00,383
2/17/2020 00:00:00,797
2/18/2020 00:00:00,1022
2/19/2020 00:00:00,738
2/20/2020 00:00:00,673
2/21/2020 00:00:00,575
2/22/2020 00:00:00,374
2/23/2020 00:00:00,351
2/24/2020 00:00:00,699
2/25/2020 00:00:00,705
2/26/2020 00:00:00,632
2/27/2020 00:00:00,828
2/28/2020 00:00:00,759
2/29/2020 00:00:00,429
3/1/2020 00:00:00,475
3/2/2020 00:00:00,1006
3/3/2020 00:00:00,1058
3/4/2020 00:00:00,859
3/5/2020 00:00:00,723
3/6/2020 00:00:00,650
3/7/2020 00:00:00,455
3/8/2020 00:00:00,456
3/9/2020 00:00:00,741
3/10/2020 00:00:00,1064
3/11/2020 00:00:00,722
3/12/2020 00:00:00,570
3/13/2020 00:00:00,556
3/14/2020 00:00:00,378
3/15/2020 00:00:00,331
3/16/2020 00:00:00,741
3/17/2020 00:00:00,864
3/18/2020 00:00:00,673
3/19/2020 00:00:00,448
3/20/2020 00:00:00,398
3/21/2020 00:00:00,332
3/22/2020 00:00:00,299
3/23/2020 00:00:00,486
3/24/2020 00:00:00,756
3/25/2020 00:00:00,538
3/26/2020 00:00:00,521
3/27/2020 00:00:00,411
3/28/2020 00:00:00,329
3/29/2020 00:00:00,301
3/30/2020 00:00:00,520
3/31/2020 00:00:00,746
4/1/2020 00:00:00,446
4/2/2020 00:00:00,416
4/3/2020 00:00:00,346
4/4/2020 00:00:00,330
4/5/2020 00:00:00,308
4/6/2020 00:00:00,474
4/7/2020 00:00:00,838
4/8/2020 00:00:00,573
